ID,Case,Degree,Gender,Inflection_Class,Mood,Number,Part_of_Speech,Person,Tense,Voice,Comment,Source
96,Genitive,Comparative,Neuter,3,,Singular,Adjective,,,,,
97,Ablative,,Any,Special,,Singular,Pronoun,,,,,
98,,,,Special,,,Determiner,,,,,
99,Nominative,,Masculine/Neuter,3,,Singular,Noun,,,,,
100,Genitive,,Masculine/Neuter,3,,Singular,Noun,,,,,
101,Nominative,Positive,Masculine,2,,Plural,Adjective,,,,,
102,Nominative,Positive,Neuter,2,,Singular,Participle,,Perfect,Passive,,
103,Genitive,Positive,Neuter,2,,Singular,Participle,,Perfect,Passive,,
104,Nominative,,Masculine,3,,Plural,Noun,,,,,
105,Genitive,,Masculine,3,,Plural,Noun,,,,,
106,Nominative,,Masculine/Feminine,Special,,Plural,Numeral,,,,,
107,Nominative,,Masculine,2,,Singular,Numeral,,,,,
108,Nominative,,Feminine,2,,Singular,Numeral,,,,,
109,,,,,,,Interjection,,,,,
110,Nominative,,Neuter,3,,Plural,Noun,,,,,
