ID,Analogy,Archaism,Borrowing,Dead,Inflection,Morphology,Paradigm,Phonology,Remodeling,Comment,Source
14,False,False,False,False,False,False,False,False,False,"There's no reason to think the combining form had adverbial inflection as on Wiktionary, hence 'dwenedgenos' was cut; we reconstruct dweni-.",
15,False,False,False,False,False,False,False,True,False,"[Phonology] A one-off regressive assimilation seems to have made p-b- into b-b-. But that didn't happen everywhere: pubes didn't become bubes; cf. also pabulum, publicus.",
16,False,False,True,False,False,False,False,False,False,[Borrowing] The initial consonant shows a non-Latin outcome and is thus probably a borrowing.,
17,False,False,True,False,False,False,False,False,False,[Borrowing] The initial consonant shows a non-Latin outcome and is thus probably a borrowing.,
18,False,False,False,False,False,False,False,False,False,"[Paradigm] Unlike most 1st conj. verbs, the -a- in this paradigm seems to come from a laryngeal (like do: dare), hence a short -a- should be reconstructed for the 3rd sg.",
19,False,False,False,False,False,False,False,True,False,"[Phonology] *karkros is a postulated pre-form of securely reconstructable *kankros. Feeding both forms in implies they are both late P. Ital., but one is older. That is, the forms are layered. (Probably some r-r dissimilation).",
20,True,False,False,False,False,False,False,False,False,[Analogy] The inherited full grade nominative was levelled out.,
21,False,False,False,False,False,False,False,True,False,"[Phonology] Rix claims -sw- > -rw-; the form is sometimes reconstructed as katesowa, in which case the -r- would be normal.",
22,False,False,False,False,False,False,False,False,False,"(1) de Vaan usually uses χ and not ɣ. This is an allomorphy problem. It is usually assumed that the fricatives were voiced intervocalically but not initially. Thus the sounds are identical phonemically but not phonetically. The data we have is mostly phonetic, not phonemic (thus we are reconstructing with -zn- and not -sn-). (2) We reconstruct the singular; the word happens to be attested only in the plural, but that is a lexicalization not relevant to phonetic processes.",
23,False,False,False,False,False,False,False,False,False,This one is often reconstructed *kaud-ta:.,
24,False,False,False,False,False,False,False,True,False,"[Phonology] The real origin here is *-ow-. -ow- is unrounded pretonically to -aw-, probably pre-Proto-Italic (Vine's law). The broader issue is accent. IE had mobile accent; P. Ital. developed head accent; classical Latin has the well-known penultimate rule.",
25,False,False,False,False,False,False,False,False,False,"We cut Wiktionary's ""ke-date"". That's the pre-form of the plural cette (added below). Cedo is the singular.",
26,True,False,False,False,False,False,False,False,False,[Analogy] The normal outcome of *-ei- is -i:-. It may be that the expected cli:mens was remodelled to cle:mens by antithetical analogy to vehemens (= ve:mens).,
27,False,False,False,False,False,False,False,False,False,We cut ['kaɣjom'] for ['koɣom']. kaɣ-je- is the verbal pre-form postulated for some Sabellic forms. The noun did not have a -j-.,
28,False,False,False,False,False,False,False,False,False,"Within Latin, -Vns > -V:ns.",
29,False,False,False,False,False,True,False,False,False,"[Morphology] The -vex- might also be by analogy with flexus, nexus; and the etymology might be *-weχso-.",
30,False,False,False,False,False,False,False,False,False,Add kom-. The form in the list is the (unattested) simplex.,
31,False,False,False,False,False,False,False,False,False,There isn't a known pre-form for this word.,
32,True,False,False,False,False,False,False,False,False,"[Analogy] The nominative should be -o:s, but (as in color) was replaced by analogy with the regularly developing -r- of the oblique stem.",
33,True,False,False,False,False,False,False,True,False,"[Phonology] Skt. śu:la- suggests the root was *ku:l-, which would have been shortened by Dybo's law (long pretonic vowels in front of resonants are shortened). [Analogy] The ending -ex is sometimes etymological but also spreads (as in iu:dex, which should be iu:dix).",
34,False,False,False,False,False,False,False,False,False,"This word is attested only in the lexicalized plural. If a P. Ital. nom. plu. is reconstructed, it would have to be -a:s (Latin -ae is from the pronominal stems).",
35,False,False,False,False,False,False,False,False,False,"The normal outcome of deiw- before a back vowel is de-; but before a front vowel di:v-. The two different stems are then generalized out to fully independent paradigms. We therefore do not decline the genitive here, but we include one more back vowel form (the accusative singular, added here).",
36,False,False,False,False,False,False,False,False,False,"This is not a fully certain etymology,",
37,False,False,False,False,False,False,False,True,False,"[Phonology] If -dic- 'point' is the correct root, then the voicing to -g- is unusual (some say perseverative afte d-).",
38,False,False,False,False,False,False,False,False,False,"This word is attested only in the lexicalized plural. If a P. Ital. nominative plural is reconstructed, it would have to be -a:s (Latin -ae is from the pronominal stems).",
39,False,False,False,False,False,False,False,False,False,"(1) We added a 'k' (the pre-form is *di-dk-sk-e/o-).  NOTE: Reconstruct the full proto-form? Otherwise, we're doing one of the cluster reductions ourselves, so to speak.",
40,False,False,False,False,False,False,False,False,False,"These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.",
41,False,False,False,False,False,False,False,False,False,"These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.",
42,False,False,False,False,False,False,False,False,False,"These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.",
43,False,False,False,False,False,False,False,False,False,"These forms assume that dis comes from dwis, which is reasonable semantically ('apart' ~ 'in two')—but phonetically dwis should become bis. So why di:-? Some have argued that the form dissimilated in front of verbs in #w- (e.g. dwis-vort- > dis-vort) and was then generalized as di:-. Maybe. But the question is, what did things look like at the late P. Ital. stage? At that point, the form seems to have been securely dis-, we reconstruct this. We did not made the change here or in other forms with outcomes in dis-/di-.",
44,False,False,True,False,False,False,False,False,False,"(1) The *dw- should become *b-, but there's some reason to think the form is non-Latin.",
45,False,False,False,False,False,False,False,False,False,The normal outcome of deiw- before a back vowel is de-; but before a front vowel di:v-. The two different stems are then generalized out to fully independent paradigms. We add forms with div- before front vowels here.,
46,False,False,False,False,False,False,False,False,False,This is the original dimorphic paradigm; the -i:wi- that developed in the oblique cases contracted to -i:-. The dimorphism led to two parallel paradigms with a new nominative di:s and a new oblique di:vit-.,
47,False,False,False,False,False,False,False,False,False,The usual nominative -or is analogical.,
48,False,False,False,False,True,False,False,False,False,"[Inflection] We cut Wiktionary's etymon *dido:.  It's true that the inherited P. Ital. present was dido:. That form is preserved in Sabellic and in Latin compounds (reddo: < redido:). The Latin do:, however, is not the direct descendant of dido; it's apparently the root aorist of that verb repurposed as a present, so we have changed the form here.",
49,False,False,False,False,False,False,False,True,False,"(1) (NON)CHANGE: Dw- universally becomes b- except in this word in archaic contexts, so it looks like a 'holdover' from archaic texts vel sim. Perhaps best to cut and link duellum to its normal outcome, bellum.",
50,False,False,False,False,False,False,False,True,False,[Phonology] We do not use Wiktionary's etymon *dulkus. All indications are that already in P. Ital. the u- adjectives were turned into 3rd decl. adj. by affixing -is right to the stem. There isn't an obvious parallel for -lkw- > -lk-.,
51,False,False,False,False,False,False,False,False,False,"*dwi- is manifestly the inherited form (hence words with bi-), but the productive form became du-, from the stem of du-o:. A dwiplos would have become biplus. Hence, we have cut the nominative Wiktionary etymon *dwipleks.",
52,False,False,False,False,False,False,False,False,False,"We give no third person for this verb. The inherited 3rd sg is e:st, one of the few traces of athematic inflection remaining in Latin. That form survives to the classical period but is steadily replaced by edit. That probably does not come from a pre-form *edeti but was created after the endings had weakened, on the analogy of other third conjugation verbs.",
53,False,False,False,False,False,False,False,False,False,"This is the normal form, from iambic shortening. Older Latin preserves the original ego:.",
54,False,False,False,False,False,False,False,False,False,*eno is the demonstrative of which enim is an adverbialized accusative singular. It is not the direct pre-form of enim.,
55,True,False,False,False,False,False,False,False,False,"[Analogy] The original nom. ending would have been -o:s, but the formation is unattested for error.",
56,False,False,True,False,False,False,False,False,False,"[Borrowing] Probable loan word. de Vaan imagines the substrate had fafa:, but Faliscan (supposedly) had faba and Old Prussian had babo. There's no known process whereby -f- (or -v-, if we assume voicing intervocalically) becomes -b-. On that topic, if the form is kept, maybe it should be fava.",
57,False,False,False,False,False,False,False,False,False,"We leave off fifth declension genitives. They are historically -e:s, with -e:i: and -ei: later analogical replacements.",
58,False,False,True,False,False,False,False,False,False,"[Borrowing] The possible protoform is IE *dʰra:́ks, but there's no known process whereby #fr- > #f- and a: > ae. The regular outcome of that root is attested in frace:s 'lees, dregs of oil.' Instead, this form may come from Etruscan.",
59,False,False,False,False,False,False,False,False,False,"The third and fourth conjugations are identical in origin (-ye/yo-, a present marker, is added to the root), but the fourth develops after heavy syllables. One theory is that Siever's Law produced a homorganic anaptyctic vowel (that is, *fark-jeti > *fark-i-jeti, and then, by normal rules, > fark-i-eti > farci:t) (the long i: is shortened later by sound law /_t#).",
60,False,False,False,False,False,False,False,True,False,[Phonology] This assumes fere: is the source of fere:,
61,False,False,False,False,False,False,False,False,False,This assumes ferme: is the older variant of fere:,
62,False,False,False,False,False,False,False,False,False,fert is sometimes considered a remnant of athematic inflection but it could be non-regular syncopation in a very common verb (i.e. *fereti > *ferit > fer't). To provide a 3rd person form is to take a position on that controversy.,
63,False,False,False,False,False,False,False,False,False,"Possibly this should be reconstructed with -e:- (the IE is *ghweh1, and a long vowel could have been shortened by Dybo's Law).",
64,False,False,False,False,False,False,False,False,False,There is a third conjugation by-form (probably the original).,
65,False,False,False,False,False,False,False,False,False,*-lwi- to *-li- is now assumed to be a regular change.,
66,False,False,False,False,False,False,False,False,False,"It's true that -as is the original nominative plural; -ai > -ae is an analogical form. Here, instead of using fe:riae, we reconstruct the (unattested but underlying) singular fe:ria.",
67,False,False,False,False,False,False,False,True,False,"[Phonology] Other cognates point to *-e-, not *-i-. The Latin vowel was raised for some unknown reason (or maybe altered by analogy from other reduplications with -i-).",
68,False,False,False,False,False,False,False,True,False,[Phonology] Watkins argued -e- was raised after a labial.,
69,False,False,False,False,False,False,False,False,False,NOTE: Devoice the cluster?,
70,False,False,False,False,False,False,False,False,False,fora:s is a lexicalized accusative. We reconstruct the inflected form. -Vns# in. accusative plurals seems to have become -V:s already in P. Ital.,
71,False,False,False,False,False,False,False,False,False,We cut Wiktionary's *forðom. *forðom is only half of the compound.,
72,False,False,False,False,False,False,False,False,False,Some authorities assume singular foris is a back-formation from the plural.,
73,False,False,False,False,False,False,False,True,False,[Phonology] An unparalleled sound change m- m- > f- m-. Some say this is a taboo deformation.,
74,False,False,False,False,False,False,False,False,False,Siever's Law applies here.,
75,False,False,False,False,False,False,False,False,False,The etymology for this word is disputed.,
76,False,False,False,False,False,False,False,False,False,"We cut ['fefuai']. As with do:, it's true that there was a reduplicated past (it shows up in Oscan), but they are not the direct precursors of the Latin form, which in this case seems to be an aorist. This is a case when the form is as it were 'pre-Latin' rather than genuinely Proto-Italic.",
77,False,False,False,False,False,False,False,True,False,[Phonology] This is the only word where #gh- > #f- (maybe because of the following -u-).,
78,False,False,False,False,False,False,False,False,False,"We cut Wiktionary's etyma *funðos and *funði:. Moreover, the -d- is from *-dh- but there is a question here of relative chronology. It may be that the development was *bhudh-no- > *bhud-no- > *bhundo-. Thus, we reconstruct with -nd-, not -nð-.",
79,False,False,False,False,False,False,False,False,False,The etymology of this word is disputed.,
80,False,False,False,False,False,False,False,True,False,"[Phonology] If *ga:r- is the correct reconstruction, then the verb has quantitative metathesis (that is, [V:]C become V[:C], the so-called 'littera rule').",
81,False,False,False,False,False,False,False,True,False,"[Phonology] #g- is apparently analogical from the *gen- family. This is not a phonological change, and so this item could be cut (or else reconstructed with initial *g- — but that is, in effect, to assume that the analogy was already in Italic).",
82,True,False,False,False,False,False,False,False,False,"[Analogy] *geno should have stayed but may have changed by analogy to other words (fremo, tremo).",
83,False,False,False,False,False,False,False,False,False,"The P. Ital. (probably) inherited an -m- (that is, the protoform was *gmro-, cf. Skt. ja:ma:tar-, also 'son-in-law.') -m- became -n- before –r-, followed by anaptyxis in the cluster.",
84,False,False,False,False,False,False,False,False,False,"We cut Wiktionary's *genu. If you have Latin genu:, then the P. Ital. should also be genu: (an old dual); the long. nominative is securely attested in poetry, though the short form is regular. That might be because of iambic shortening.",
85,False,False,False,False,False,False,False,True,False,[Phonology] Littera rule.,
86,False,False,False,False,False,False,False,False,False,"In the nominative singular, voicing assimilation has been applied.",
87,False,False,False,False,False,False,False,True,False,"[Phonology] If the etymology is right, #gn-r- > #gl-r- is unparalleled. Gna:rus survives, but a **gla:rus might have been undone by analogy to igna:rus (where the cluster is not in initial position and in VOL the accent was different).",
88,False,False,False,False,False,False,False,False,False,gna:tus becomes na:tus in the historical period.,
89,False,False,False,False,False,False,False,True,False,[Phonology] The P. Ital. is difficult to reconstruct and these forms are uncertain. This word features the unda-rule (-dn- > -nd-),
90,False,False,False,False,False,True,False,False,False,"[Morphology] This adjective was originally a u-stem, preserved in Oscan, but was remodeled to an i-stem within Latino-Faliscan.",
91,False,False,False,False,False,False,False,False,False,"Grates is pluralia tantum, so the plural is reconstructed.",
92,False,False,False,False,False,False,False,False,False,This base attested only in compounds.,
93,False,False,True,False,False,False,False,False,False,[Borrowing] Possible borrowing from Umbrian.,
94,False,False,False,False,False,False,False,True,False,[Phonlogy] *h- is probably a hypercorrection. Derivatives in the other languages suggest there was no consonant at word head.,
95,False,False,False,False,False,False,False,True,False,[Phonology] *h- is probably a hypercorrection. Derivatives in the other languages suggest there was no consonant at word head.,
96,False,False,False,False,False,False,False,False,False,"The -i: is probably analogical from locatives like domi:. But if that was an Italic-level development, then heri would be the product of iambic shortening.",
97,False,False,False,False,False,False,False,False,False,NOTE: Generally we aren't using breve marks.,
98,False,False,False,False,False,False,False,False,False,"(1) No genitive is possible; this word is attested only in the nominative and accusative. (2) NB: Sometimes the P. Ital. is reconstructed as *hezor, which makes good sense from the point of view of Indo-European.",
99,False,False,False,False,False,False,False,True,False,[Phonology] The raising of e > i / _r is said to be dialectal.,
100,False,False,False,False,False,False,False,True,False,"[Phonology] χem- > χom- is irregular, perhaps because of forms like attested hemo:nem, in which a labial precedes a back vowel.",
101,False,False,False,False,False,False,False,False,False,"We cut Wiktionary's etymon *χeri. Wiktionary has the wrong pre-form; χeri is only a root, not the full inflected form. The Latin -or- represents the outcome of a vocalic r.",
102,False,False,False,False,False,False,False,False,False,No genitive was reconstructed for this one because the declension was changed to a -t- stem within Latin.,
103,False,False,False,False,False,False,False,False,False,This version is due to iambic shortening.,
104,False,False,False,False,False,False,False,False,False,"We skip a genitive here; possible genitive forms are many, being the wreckage of an old r/n stem with remodeling. It is ard to tell what P. Ital. had.",
105,False,False,False,False,False,False,False,True,False,"The word also occurs in the form ia-; ie- looks like quasi-vowel harmony to the following -ient-, which spread to ieiu:nus.",
106,False,False,False,False,False,False,False,True,False,"[Phonology] The i- instead of o- is usually ascribed to analogy with iste, where the i belongs, but it could also be from a clitic (and thus un- or weakly stressed) form.",
107,False,False,False,False,False,False,False,True,False,"[Phonology] The i- instead of o- is usually ascribed to analogy with iste, where the i belongs, but it could also be from a clitic (and thus un- or weakly stressed) form.",
108,False,False,False,False,False,False,False,False,False,We assume the fricative was voiced.,
109,False,False,False,False,False,False,False,True,False,[Phonology] Quantitative metathesis (meit > mi:t > mit:). (A rare but occasional effect).,
110,False,False,False,False,False,False,False,False,False,We cut Wiktionary's *en-kaid-slis and en-kaid-slis. We also removed their morpheme boundary hyphens.,
111,False,False,False,False,False,False,False,False,True,"[Remodeling] This word was wholly remodeled, with an oblique stem perhaps from faci-neris.",
112,False,False,False,False,False,False,False,False,True,[Remodeling] The short -a- in the oblique cases is adopted from the nominative.,
113,False,False,False,False,False,False,False,False,False,"If the -u- really is from *-oi-, then -u:- (long) should be reconstructed, even though the quantity is 'hidden'.",
114,True,False,False,False,False,False,False,False,False,"[Analogy] -dex is considered an analogical replacement. The ø-grade of *deik is *dik. That is, -iks doesn't phonetically come out as -eks.",
115,False,False,False,False,False,False,False,False,False,"The forms of this noun underwent a paradigm split. The original singular *yougos formed a 3rd decl. plural *yougesa > iu:gera; and then a second declension singular iu:gerum was back-formed. No purely phonetic process will yield a singular iu:gerum from the inherited *yougos. Hence, we have *yougos here even though iu:gus isn't a later Latin word.",
116,True,False,False,False,False,False,False,True,False,"[Analogy] If this etymology is right ('having eternal life'), then a long i stem was remodeled into a short i stem (Latin does not have any of the former). [Phonology] If this etymology is right ('having eternal life'), *gw delabialized after *u.",
117,False,False,False,False,False,False,False,False,False,"In the nominative singular, voicing assimilation has been applied.",
118,False,False,False,False,False,False,False,False,False,"There are two words of which the nominative is iu:s, I have added the second one here. The stem is sometimes reconstructed as jowas but I think just ju:- is fine.",
119,False,False,False,False,False,False,False,False,False,"The form infectus does have two origins ('not-done' and 'in-done' = 'dyed' etc.) but once the privative becomes *en the forms are identical. That is, Wiktionary has an infectus_1 and an infectus_2 for semantic, not phonological or structural, reasons, so I wonder whether for the purposes of this data set there really should be two lemmata.",
120,False,False,False,False,False,False,False,False,False,"The form infectus does have two origins ('not-done' and 'in-done' = 'dyed' etc.) but once the privative becomes *en the forms are identical. That is, Wiktionary has an infectus_1 and an infectus_2 for semantic, not phonological or structural, reasons, so I wonder whether for the purposes of this data set there really should be two lemmata.",
121,False,False,False,False,False,False,False,False,False,"We cut Wiktionary's *enstroutos. We also add -g- in the etyma. The participle in -ctus (and the perfect in -xi) are probably analogical to fluo, which makes fluxi, fluctum. That is, instruo has rhyme forms. *Enstroutos is possible as an original *-to- participle (with the wrong grade, though), but it doesn't become instructus by any phonological process.",
122,False,False,False,False,False,False,False,True,False,[Phonology] This reconstruction (there are others) requires distant dissimilation of d-n to d-m. This reconstruction (there are others) also requires the (areal?) change of #d- > #l. the (areal?) change of #d- > #l.,
123,False,False,False,False,False,False,False,False,False,"de Vaan reconstructs *lamjo-, but for venio he has gwnje- (both roots originally ended in -m).",
124,False,False,False,False,False,False,False,False,False,"There is a lavabrum, but this looks like a later recomposition.",
125,False,False,False,False,False,False,False,False,False,No genitive attested.,
126,False,False,False,False,False,False,False,True,False,[Phonology] Initial d- seems securely reconstructable; but interchange of -d- with -l- is sporadic (areal phenomenon?).,
127,False,False,False,False,False,False,False,True,False,[Phonology] Initial d- seems securely reconstructable; but interchange of -d- with -l- is sporadic (areal phenomenon?).,
128,False,False,False,False,False,False,False,True,False,[Phonology] The -b- is either from -ðw- > -dw- > b.,
129,False,False,False,False,False,False,False,True,False,"[Phonology] The l- was added for some reason, perhaps by association with ludere (before the -d- devoiced).",
130,False,False,False,False,False,False,False,True,False,[Phonology] Unrounding of o after m.,
131,False,False,False,False,False,False,False,False,False,The -i- represents a geminant (sometimes so spelled).,
132,False,False,False,False,False,False,False,True,False,[Phonology] Unrounding after m; grade of root disputed.,
133,False,False,False,False,False,False,False,False,False,This term was attested only in the diminutive mateola; original simplex is reconstructed here.,
134,False,False,False,False,False,False,False,True,False,[Phonology] Dissimilation of liquids; early unrounding.,
135,False,False,False,False,False,False,False,False,False,Vowel before m unclear.,
136,False,False,False,False,False,False,False,True,False,"[Phonology] d > l, sometimes said to be an areal phenomenon.",
137,False,False,False,False,False,False,False,True,False,"[Phonology] There is a PIE *smeru- 'marrow', but if that's the etymon, then d > r.",
138,False,False,False,False,False,False,False,True,False,[Phonology] -lit- > -ld- > -ll-? (So some.),
139,True,False,False,False,False,False,False,False,False,[Analogy] The o: was proper only to the nom but spread.,
140,False,False,False,False,False,False,False,True,False,[Phonology] -mn- to -m- is unparalleled.,
141,False,False,False,False,False,False,False,False,False,We did not give a genitive because the etymology is disputed.,
142,True,False,False,False,False,False,False,False,False,[Analogy] The Latin nominative is remodeled into a -i stem; the -(e)n- suffix is preserved elsewhere in Sabellic.,
143,False,False,False,False,False,False,False,True,False,[Phonology] The short -i- in the first syllable is probably because the form was usually enclitic. [Phonology] The final syllable eventually undergoes iambic shortening.,
144,True,False,False,False,False,False,False,False,False,[Analogy] Latin substituted -i for the -s of Sabellic plurals. [Analogy] Unstressed -min- from verbal forms was apparently inserted into initial syllables.,
145,True,False,False,False,False,False,False,False,False,[Analogy] The nom. sg. has an -r- from the oblique stem.,
146,True,False,False,False,False,False,False,False,False,[Analogy] The verb became 2nd conjugation for some reason; not a phonetic change.,
147,False,False,False,False,False,False,False,True,False,[Phonology] Quantitative metathesis (meit > mi:t > mit:). (A rare but occasional effect).,
148,False,False,False,False,False,False,False,True,False,[Phonology] Some maneuvering is required to get the -o-.,
149,False,False,False,False,False,False,False,True,False,[Phonology] The -oe- fails to become -u:-.,
150,False,False,False,False,False,True,False,False,False,[Morphology] The inherited -sk- verbs have a preceding short vowel.,
151,True,False,False,False,False,False,False,False,False,[Analogy] The nominative is remodeled into an ordinary-looking i-stem from the oblique forms.,
152,True,False,False,False,False,False,False,False,False,"[Analogy] The nominative gets r from the oblique cases, and the oblique cases get o: from the nominative.",
153,True,False,False,False,False,False,False,False,False,"[Analogy] The nominative nubs is attested, but the stem was evidently reimported to the nominative with the -e:s of obscure origin found in a few other nouns (sede:s, caede:s, vate:s).",
154,False,False,False,False,False,False,False,False,False,"No genitive is given because this word has the pronominal gen. in -i:us of debated origin, making the P. Ital. form uncertain.",
155,False,False,False,False,False,False,False,False,False,P. Ital. probably did not have -ks but just -i:.,
156,False,False,False,False,False,False,False,True,False,"[Phonology] If oketa:, suggested by other IE languages, is correctly reconstructed, then oketa: > okita: > otika: > ot'ka: > okka; the metathesis is unparalleled. Possibly a borrowing from another dialect?",
157,True,False,False,False,False,False,False,False,False,[Analogy] The nominative singular has an -r- from the oblique stem; the oblique stem has a long o from the nom.,
158,False,False,False,False,False,False,False,True,False,"[Phonology] -l- > -d-/V_V, a sporadic change.",
159,False,False,False,False,False,False,False,True,False,"[Phonology] -l- > -d-/V_V, a sporadic change.",
160,True,False,False,False,False,False,False,False,False,[Analogy] The nominative singular has an -r- from the oblique stem; the oblique stem has a long o from the nominative.,
161,False,False,False,False,False,False,False,False,False,NOTE: Or nominative singular *osts?,
162,False,False,False,False,False,False,False,True,False,[Phonology] owi- should yield u:. Is this Sabellic? The Latin word is opilio: with an -io suffix; the underlying compound is not attested as such.,
163,False,False,False,False,False,False,False,True,False,[Phonology] The o: is apparently secondary.,
164,False,False,False,False,False,False,False,False,False,The second -a- is a guess; only V can be securely reconstructed.,
165,False,False,False,False,False,False,False,True,False,"[Phonology] This form has a rare metathesis (-ur- > -ru-), as does parvus (-ur- > -rv-, the mirror image change).",
166,False,False,False,False,False,False,False,False,False,We leave off the genitive singular since it is the source of a paradigm split; passeri: is generated from the nominative.,
167,False,False,False,False,False,False,False,True,False,[Phonology] Littera rule? (if pa:r is correctly reconstructed.),
168,False,False,False,False,False,False,False,False,False,Dubious etymology.,
169,False,False,False,False,False,False,False,False,False,P. Ital. definitely had the inherited po:d-.,
170,False,False,False,False,False,False,False,True,False,[Phonology] e to i after labial?,
171,False,False,False,False,False,False,False,False,False,This is a complicated paradigm; some leveling probably already occurred in P. Ital.,
172,False,False,False,False,False,False,False,False,False,The verb only shows up in compounds in the form plico:.,
173,True,False,False,False,False,False,False,False,False,[Analogy] Paradigm leveling occurred.,
174,False,False,False,False,False,False,False,False,False,Also attested as porrigo:.,
175,False,False,False,False,False,False,False,True,False,[Phonology] The long o: is secondary.,
176,False,False,False,False,False,False,False,True,False,[Phonology] Possible dissimilation of kr_r > k_r.,
177,False,False,False,False,False,False,False,True,False,[Phonology] sw > rw > ør (dissimilation after earlier r).,
178,False,False,False,False,False,False,False,True,False,[Phonology] r_r > l_r.,
179,False,False,False,False,False,False,False,True,False,"[Phonology] The a is secondary, from oblique cases (when there were oblique cases).",
180,False,False,False,False,False,False,False,True,False,[Phonology] i: is secondary.,
181,False,False,False,False,False,False,False,True,False,[Phonology] Long e by Lachmann's law.,
182,False,False,False,False,False,False,False,True,False,"[Phonology] From Indo-European *reH1is, the Latin outcome would be *reis > ri:s, so that re:s must represent some remodeling.",
183,False,False,True,False,False,False,False,False,False,"[Borrowing] Pure Latin would have u:, not o:.",
184,False,False,True,False,False,False,False,False,False,"[Borrowing] Pure Latin would have u:, not o:.",
185,False,False,True,False,False,False,False,False,False,[Borrowing] Pure Latin would have not have f.,
186,True,False,False,False,False,False,False,False,False,"[Analogy] nom. in r is from the oblique cases, long o: in paradigm is from nom. sg.",
187,False,False,False,False,False,False,False,False,False,Probably a substrate word.,
188,True,False,False,False,False,False,False,False,False,[Analogy] Nom. -e:s is probably imported.,
189,False,False,False,False,False,False,False,True,False,[Phonology] The a may come from the perfect passive participle.,
190,False,False,True,False,False,False,False,False,False,"[Borrowing] -f-, not -b-.",
191,False,False,False,False,False,False,False,True,False,[Phonology] Haplology.,
192,False,False,False,False,False,False,False,True,False,[Phonology] The etymon makes good sense cross-linguistically but the phonetics (as normally understood) don't work out.,
193,False,False,False,False,False,False,False,True,False,"[Phonology] If the etymology is right, -ae- is second position should give -i:-.",
194,False,False,False,False,False,False,False,True,False,[Phonology] -d- > -l-.,
195,True,False,False,False,False,False,False,False,False,[Analogy] r from obliques; o: from the nominative.,
196,False,False,False,False,False,True,False,False,False,[Morphology] An inherited -e:s nominative.,
197,False,False,False,False,False,True,False,False,False,[Morphology] Latin has -o:r- throughout the paradigm; Indo-European did not; did P. Ital.?,
198,False,False,False,False,False,False,False,True,False,[Phonology] Assumes sweo > so: (no parallels).,
